2025-12-12 04:49:30,916 - INFO - {"timestamp": "2025-12-12T04:49:30.916860", "src_ip": "34.54.84.110", "packet_rate": 17, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High avg_pkt_size (Value: 1191.24, Baseline: 212.69)", "profile": {"src_ip": "34.54.84.110", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.0011721809780943504}}
2025-12-12 04:49:38,962 - INFO - {"timestamp": "2025-12-12T04:49:38.962412", "src_ip": "13.107.246.61", "packet_rate": 30, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High avg_pkt_size (Value: 2214.43, Baseline: 212.69)", "profile": {"src_ip": "13.107.246.61", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.0373059672125321}}
2025-12-12 04:49:44,475 - INFO - {"timestamp": "2025-12-12T04:49:44.475649", "src_ip": "172.20.10.12", "packet_rate": 46, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High syn_ratio (Value: 0.04, Baseline: 0.00)", "profile": {"src_ip": "172.20.10.12", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.011821333219799723}}
2025-12-12 04:49:47,439 - INFO - {"timestamp": "2025-12-12T04:49:47.439033", "src_ip": "172.20.10.12", "packet_rate": 172, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High syn_ratio (Value: 0.02, Baseline: 0.00)", "profile": {"src_ip": "172.20.10.12", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.07921898081093937}}
2025-12-12 04:49:47,448 - INFO - {"timestamp": "2025-12-12T04:49:47.448942", "src_ip": "74.125.206.81", "packet_rate": 55, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High packet_count (Value: 55.00, Baseline: 6.83)", "profile": {"src_ip": "74.125.206.81", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.02142366937325535}}
2025-12-12 04:49:50,476 - INFO - {"timestamp": "2025-12-12T04:49:50.476179", "src_ip": "172.20.10.12", "packet_rate": 172, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High syn_ratio (Value: 0.02, Baseline: 0.00)", "profile": {"src_ip": "172.20.10.12", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.06242927119310382}}
2025-12-12 04:49:50,554 - INFO - {"timestamp": "2025-12-12T04:49:50.554129", "src_ip": "74.125.206.81", "packet_rate": 94, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High packet_count (Value: 94.00, Baseline: 6.83)", "profile": {"src_ip": "74.125.206.81", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.02749114123962182}}
2025-12-12 04:49:54,204 - INFO - {"timestamp": "2025-12-12T04:49:54.204131", "src_ip": "172.20.10.12", "packet_rate": 322, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High syn_ratio (Value: 0.02, Baseline: 0.00)", "profile": {"src_ip": "172.20.10.12", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.07921898081093937}}
2025-12-12 04:49:54,221 - INFO - {"timestamp": "2025-12-12T04:49:54.221939", "src_ip": "74.125.206.81", "packet_rate": 65, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High packet_count (Value: 65.00, Baseline: 6.83)", "profile": {"src_ip": "74.125.206.81", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.020216292332331576}}
2025-12-12 04:49:57,248 - INFO - {"timestamp": "2025-12-12T04:49:57.248610", "src_ip": "172.20.10.12", "packet_rate": 207, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High syn_ratio (Value: 0.01, Baseline: 0.00)", "profile": {"src_ip": "172.20.10.12", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.07921898081093937}}
2025-12-12 04:49:57,266 - INFO - {"timestamp": "2025-12-12T04:49:57.266753", "src_ip": "74.125.206.81", "packet_rate": 58, "detection_method": "ML_IsolationForest", "message": "DDoS Detected!", "reason": "High packet_count (Value: 58.00, Baseline: 6.83)", "profile": {"src_ip": "74.125.206.81", "risk_level": "MEDIUM", "confidence": "Low", "anomaly_score": -0.02142366937325535}}
